image_id,headline,caption,section,generated_baseline,alt_text_length
fcf9786b-19fd-54da-83a9-bf57ed851a92,Leading Aluminum Company's Chairman Quits in Dispute,A Rusal factory in Russia. The company's chairman disagreed with management over the direction the company should take.,Global Business,"""Worker on a forklift amidst stacks of aluminum bars at a Rusal factory in Russia, highlighting the dispute between the chairman and management over company direction.""",168
bdb5fcff-7b5f-5425-9e6e-c76217152d3a,"Review: At Pennsylvania Ballet, Lots of Pillows and Pas de Deux","A scene from ""Somnolence,"" by the Pennsylvania Ballet's resident choreographer, Matthew Neenan, at the Academy of Music in Philadelphia.",Dance,"A group of dancers in pajamas holds pillows on their heads, performing a ballet piece titled ""Somnolence"" by Matthew Neenan at the Pennsylvania Ballet.",151
545024ac-c7ec-583b-a514-6f1cc0232d64,Fashion Breaks Its Silence on Harvey Weinstein Scandal,The Vogue editor Anna Wintour and Harvey Weinstein at Fashion&rsquo;s Night Out in 2010.,Style,"""Anna Wintour and Harvey Weinstein at Fashion's Night Out in 2010, showcasing their professional relationship amid the controversy surrounding the fashion industry.""",165
b3219421-7b90-5f28-8d2f-4740742c81a6,See the Art That Tavi Gevinson Collects,"Tavi Gevinson in the living room of her Brooklyn apartment, which includes a framed piece by Jenny Holzer (upper left), a publicity still of Catherine Burns in the Frank Perry move &ldquo;Last Summer&rdquo; (top, center) and a photograph of Ms. Gevinson dancing at a Fashion Week after-party (right).",Art & Design,"A woman sits on a couch wearing a floral shirt and jeans, surrounded by art, including a Jenny Holzer piece and a Catherine Burns still from ""Last Summer.""",155
63335c9b-4893-5dec-a604-f6e2626b9749,Rotavirus Vaccine May Protect Against Type 1 Diabetes,,Well,"""Icon of a syringe against an orange background, symbolizing the rotavirus vaccine discussed in the article about its potential link to reducing Type 1 diabetes.""",162
186863e6-eb3f-5dc6-b8a6-ab5ef3f2195c,"Mika Kurosawa, 'Godmother' of Japanese Contemporary Dance, Dies at 59",Mika Kurosawa performing at the Kitchen in New York City in 2007.,Dance,"A woman in an elegant white dress and pearl accessories performs on stage, representing Mika Kurosawa's artistic dedication as described in her obituary.",153
e15c0821-f9b1-5e0f-a2e1-43d206ea7645,What's on TV Monday: 'The Late Late Show' Special and 'Pass Over',"From left, Anna Faris, James Corden, Allison Janney and Kunal Nayyar in &ldquo;The Late Late Show Carpool Karaoke Primetime Special.&rdquo;",Television,"Four people in matching outfits celebrate joyfully, arms raised, in front of a city street backdrop, promoting ""The Late Late Show Carpool Karaoke Primetime Special.""",166
cc14f99a-c94b-5d13-a379-fcbd5a9e258f,Is Leonard Cohen the New Secular Saint of Montreal?,A mural of Leonard Cohen on a Montreal building.,Music,"Mural of Leonard Cohen on a Montreal building, featuring bold purple and green elements against a snowy backdrop, symbolizing cultural revival post-death.",154
547e49ba-2454-523c-924a-b27baa9114dc,Review: A Symphony Talks Politics,Jaap van Zweden leads politically charged &mdash; or at least politically suggestive &mdash; works by Shostakovich and Beethoven at David Geffen Hall.,Music,"A conductor, Jaap van Zweden, leading an orchestra in a politically suggestive performance, wearing formal attire, holding a baton, surrounded by musicians playing violins and cellos.",183
2334d67a-5c64-5c60-9698-4fe7b4f44504,"Maria Perego, Topo Gigio's Creator, Dies at 95","Maria Perego in 1961 with the mouse puppet Topo Gigio, who became a worldwide phenomenon. Working alongside her husband, Federico Caldura, Ms. Perego created Topo Gigio in the late 1950s.",Television,"Woman in red shirt interacting with a mouse puppet, representing Topo Gigio, a character created by Maria Perego and Federico Caldura in the late 1950s.",152
