image_id,headline,caption,section,generated_baseline_no_context,alt_text_length
a0aa8aa0-4ed7-501c-8f3e-7fe90696ff43,Push to Add Charter Schools Hangs Over Strike,"Blair Burson, a second-grade teacher at Chicago International Charter School Bucktown, helped a student on Wednesday.",Education,"A classroom scene with students at desks, a teacher kneeling by one student, colorful educational posters on the walls, and chairs arranged around tables.",154
0f7a001b-0c74-564b-9950-0a5ae9078d0e,A Lifesaving Pump for Cancer Patients Is Being Phased Out,"Peter Beckerman was told he had 20 months to live, but received a chemotherapy-injecting liver pump. That was 10 years ago. ""The pump saved my life,"" he said.",Health,"A smiling man wearing a ""Veteran"" hat sits on a cushioned bench in a cozy living room with brick fireplace, framed photos, and a vase of flowers nearby.",152
fee3e99b-a539-54e3-96af-c9bc92931e60,Track's Caster Semenya Loses Appeal to Defend 800-Meter Title,Caster Semenya arriving with her lawyer at a hearing last year to challenge track's regulations.,Sports,"Two individuals walk outdoors; one gestures with fingers raised, wearing a black suit and necklace. The other, in a suit with a red tie, carries folders.背景有树木和禁止左转标志。",166
91ed7990-1f08-5813-9fab-9ce495eaa9a3,Du Yun: A Composer's 10 Cultural Influences,&ldquo;Pleasure Pillars&rdquo; (2001).,Music,"A painting featuring a figure with striped horns, surrounded by people in ornate attire, including one in an orange dress adorned with polka dots and another in a brown outfit with gold embellishments.",201
da079d73-aa2d-5e26-af6a-76ab1c501d13,How to Be Mindful at the Holiday Table,Sam Kalda,Well,"Illustrated Thanksgiving meal featuring a roasted turkey, steaming pumpkin, and sliced pie with carrots and greenery on plates against a plaid background.",154
1a11a7af-6ce7-52a0-9773-0cfbc2198798,What's on TV Tuesday: 'One Day at a Time' and 'Council of Dads',"Rita Moreno, center, in &ldquo;One Day at a Time.&rdquo;",Television,"A woman in a floral blouse stands between patterned curtains, gesturing with her hands as she speaks to two others seated on a couch in a living room setting.",158
e434bb7d-16f4-5c44-86fd-23e23346f6b5,Who Needs Pants? A New Take on Office Wear From Balenciaga,"Balenciaga, men's fall 2017.",Fashion & Style,"A fashion model walks down a runway wearing a long beige coat, carrying a small brown bag, with an audience seated on either side, attentively watching.",152
e5642358-91b5-579f-9d46-2df13ef6a7a9,Independent Spirit in Many Flavors at the Out of Israel Showcase at 92Y,"Sharon Vazanna will be part of the sixth Out of Israel showcase, at the 92nd Street Y.",Dance,"A woman with her hair tied back, illuminated by yellow light, extends one arm upward while the other reaches out to the side against a dark background.",151
b161d523-7e70-5871-8848-2875a7dd226c,"Impact of the Coronavirus Ripples Across Asia: 'It Has Been Quiet, Like a Cemetery'","Many spots around Hong Kong are empty, including the usually busy MTR train.",Travel,"A person sits on a subway seat, wearing dark clothing and sneakers, using a phone. The interior of a train with metal poles and yellow-striped handrails is visible.",164
a4825fcc-0b95-572a-ad16-521c3fac9931,"A Truce, Not a Peace Treaty: A Global Economic Body Warns of Risks","The Basel, Switzerland, headquarters of the Bank for International Settlements, which warned in a report on Tuesday that ""underlying financial fragilities remain.""",Economy,"A modern building with illuminated windows stands prominently against a cityscape backdrop of other buildings, including a tall industrial structure and distant hills.",167
5a45653e-2804-555f-bb59-865a02671c5b,Supreme Court Fight Goes Prime Time With Kavanaugh's Fox News Interview,"A historian called it ""utterly extraordinary"" that a Supreme Court nominee was interviewed on television. On Monday, Judge Brett M. Kavanaugh and his wife, Ashley, took questions from Martha MacCallum of Fox News.",Media,Three individuals seated in a room with patterned carpeting and curtains; one person in a leather jacket holds papers while two others engage in conversation.,158
c6136d32-a28d-5827-9142-b650b998219f,Defendants Receive Lenient Sentences in College Basketball Corruption Case,"From left, amateur basketball league director Merl Code, former Adidas executive James Gatto, and business manager Christian Dawkins, who were sentenced Tuesday in a college basketball recruiting scandal.",Sports,"A triptych featuring three men: one wearing a suit and blue shirt, another in a dark jacket with a logo, and the third in sunglasses and a beard, all against neutral backgrounds.",178
8f0ee484-45e0-5853-8f33-1a106210b7ec,Mariah! Dolly! Carrie! 2020 Can't Quarantine This Cheer,"Pop divas in holiday sparkle: from left, Carrie Underwood, Mariah Carey and Dolly Parton.",Television,"A collage of three women performing: one in a blue glittery dress, another in a red sequined outfit with gold accents, and the third in a silver sparkly top.",157
4588626e-fedd-546f-87f3-9224811ba152,"After Karl, Chanel Keeps Close to Home",Tie-dye effect metallic leathers,Fashion & Style,"Fashion runway models showcasing colorful outfits; one wears a shiny jacket with iridescent panels, another sports a patterned coat with sparkling embellishments.",162
976931e3-d5d5-5435-a4af-cdf369a9c109,Live Nation Adds Governors Ball to Its Music Festival Lineup,Michael Rapino of Live Nation Entertainment said the high risks of starting festivals made it attractive to acquire proven entities.,Media,"A man stands behind a standing desk with a computer monitor, laptop, and office chair in an open office space with exposed ductwork and framed artwork.",151
a10110fc-b224-5bd3-babf-923ca3505653,'I Never Knew Anyone Less Jaded': Admiring Terrence McNally,"From left, Chita Rivera, Tom Nelis and Matthew Deming in ""The Visit,"" for which Terrence McNally wrote the book.",Theater,"Three performers dressed in vintage attire, one in a white dress with lace sleeves, another in a top hat and suit, and a third in a tuxedo, on stage with theatrical lighting.",174
b0870b26-ccb5-5569-9a80-2c658f4d6e2e,River to River Festival Puts Dance in Unexpected Places,"Netta Yerushalmy's work will be performed at the River to River Festival. Above, ""Paramodernities.""",Dance,"A man in a yellow tank top balances a woman in a red dress on his back, both performing an acrobatic pose outdoors near a beach with people in the background.",158
9ec149e0-07cf-561a-9c1c-ab97ff09833b,NASA Mars 2020 Rover Gets a Landing Site: A Crater That Contained a Lake,"After a five-year search, NASA scientists chose the Jezero Crater delta as the landing site for the next Mars rover, which is expected to launch in 2020.",Science,"A Martian landscape with a prominent channel running through it, surrounded by varied terrain and colorful patches, including green, brown, and reddish areas.",158
e5c0aac1-d273-577d-9fbe-314d8e009aab,Where to Stream 'Parasite' and Other Big Oscar Winners,"Clockwise from top left, scenes from ""Parasite,"" ""Joker,"" ""Marriage Story"" and ""Judy.""",Movies,"Two individuals sit close, looking at phones; one wears a clown makeup and red suit, with ""Put on a Happy Face"" written on glass behind them; a woman sings into a microphone against a dark background; two women in business attire sit and converse against a textured wall.",271
14219816-2984-5f8f-b61c-a638179f8f13,Taking the Edinburgh Fringe's Madcap Energy Online,"From left, Gary McNair, Annie George, Harriet Bolwell and Francesca Moody with one of the sheds used for &ldquo;Shedinburgh,&rdquo; a livestreamed comedy and drama festival.",Theater,"Four individuals stand beside a wooden shed with ""Edinburgh Festival"" signage. One person leans against the shed, while others pose nearby. Festive lights and a camera are visible in the background.",198
9dd550c6-7eef-5abc-b425-359d82abd2a9,"12 Pop, Rock and Jazz Concerts to Check Out in N.Y.C. This Weekend",J.I.D will perform at Irving Plaza on Sunday and Monday.,Music,"A person performing on stage, holding a microphone, wearing a black vest over a white shirt and dark pants, with a backdrop of scaffolding and lighting equipment.",162
53b5c3fb-9b12-5050-90c2-ba1336d55498,How to Take Control of Your Notifications,Getting tired of new alerts constantly popping up on your screen? You can do something about it.,Technology,"Notification Center displaying travel tips, YouTube live stream notification, BuzzFeed article, satellite tracker alert, and Twitter feed with a beach background.",162
37586b1c-35ab-5e93-aaea-392d91d4cfed,'Five Feet Apart' Review: Ailing Teenagers Live Dangerously for Love,"Haley Lu Richardson and Cole Sprouse in ""Five Feet Apart.""",Movies,"Two individuals stand outside a building with glass doors, one wearing a red puffer jacket and the other a brown coat, near bollards and snow on the ground.",156
2faa9a34-d24b-5bde-9ed7-40703c431345,400-Pound Hacker? Trump Comments Fuel Dialogue on Fat-Shaming,"Alicia Machado, a former Miss Universe winner, Donald J. Trump, and the actress Rosie O'Donnell.",Well,"A split image: left shows a person with long brown hair smiling, wearing large hoop earrings; right shows a person with light-colored hair, dressed formally.",157
104e6fed-64ae-5295-8f04-ed7dcbab0e61,"As Seen on TV, a Medical Mystery Involving Hip Implants Is Solved",Two case studies published on Thursday traced high levels of cobalt in patients in Colorado and Germany to metal-on-metal hip implants.,Health,"A close-up of a reflective surface showing a person's hand holding a metallic object, likely a camera lens or light bulb, against a blurred background.",151
a450e830-22d1-5ae6-b0a2-233c5f6ad92f,A British Home Empire Aims to Colonize America,"Chrissie Rucker, the owner of the White Company, inside one of her London stores. She will open a New York branch Thursday in the Flatiron district.",Fashion & Style,"Woman with blonde hair wearing a white blazer and black shirt, standing in a clothing store setting with mannequins and white garments in the background.",153
515c73d1-916e-5392-8cd2-9f5a81388f2e,Term of Affection? Ethnic Slur? Theater Union Decides That 'Gypsy' Must Go.,"Jeremy Davis, center, a member of the ensemble in ""Cats,"" wearing the Gypsy Robe during a 2016 ceremony.",Theater,"A group of performers in diverse costumes, including a person in a white gown with ""Amazing Grace"" text and another in a blue outfit with lifebuoys, gather backstage.",166
0e25055c-d09c-5495-849f-cda52ba0da22,Wheelies: The Lane-Minder Edition,Google's updated Maps smart phone app will include lane guidance for improved navigation.,Automobiles,"Two smartphones display navigation apps showing routes to the Bay Bridge; one iPhone shows a 10-minute drive, the other an Android phone displays a 7-minute ETA.",161
39fed791-678f-5988-9699-b2b69be94c4d,"'The Crown' Has Had Its Scandals, but There's Nothing Like Diana",Josh O&rsquo;Connor and Emma Corrin play the doomed royals Prince Charles and Princess Diana in the newest season of &ldquo;The Crown.&rdquo;,Television,"A man in a suit and tie reads from an open book, standing next to a woman holding a bouquet of white roses in a church setting with stained glass windows.",154
c7362b2f-80b2-5a6a-9a7c-81f965ba4853,Tom Stoppard's 'Travesties' Will Return to Broadway,"Tom Hollander in ""Travesties.""",Theater,"A person wearing a hat and plaid shirt holds a small object near their mouth while seated at a table adorned with various items including a champagne flute, teacup, and decorative objects.",188
6e529f08-5f4a-595e-bcb8-2301d7dd4d46,"For Couple With Moebius Syndrome, Love Is Expressed From the Heart","Erin Smith and Alex Barker were married Nov. 10 at the Second Presbyterian Church in Lexington, N.C. Both have Moebius syndrome, a rare neurological disorder that causes facial paralysis.",Fashion & Style,"A bride and groom stand side by side, both wearing glasses; the bride holds an orange floral bouquet. A seated elderly woman and a man in a suit are partially visible in the background.",185
12d0b85b-73ea-5dc4-a837-8870410a1359,NASA Astronauts in SpaceX Capsule Make First Water Landing Since 1975,"Doug Hurley, left in blue jumpsuit and Bob Behnken, in the blue jumpsuit at right, in a helicopter in Pensacola after they landed on the Gulf of Mexico.",Science,"Three individuals inside a spacecraft, one wearing NASA flight suit with ""USA"" patch, another in medical scrubs, and a third in similar flight suit, interacting with equipment and ropes.",186
1b082dee-11da-5b2e-9c61-a4536e96019d,Jessica Lange Among Owners Expanding Into Grander Homes,"The actress Jessica Lange appears ready to create a duplex at 1 Fifth Avenue after buying a unit directly above her current apartment. In Midtown, art dealer Hillel Nahmad bought two half-floor penthouses at 432 Park for a total of $60 million.",Real Estate,"A tall, multi-story building with numerous windows against a clear sky. Next to it, a person in a blue dress stands in front of red roses and a partially visible ""TONY"" sign.",174
56cc820f-07d7-5139-8ec9-8972ce2d7912,They Don't Call Them Hot Desks for Nothing,The Assemblage on East 25th Street in Manhattan.,Style,"A modern office space with a long beige sofa, wooden tables, and a person working on a laptop at one of the tables. Greenery and artwork enhance the setting.",157
e12f7647-3bd6-5c07-9148-5ebe6ebea705,"Rick Owens, Talking Doom","Rick Owens, fall 2020",Style,"Fashion show scene with model in oversized blue puffer coat walking down runway amidst smoke, surrounded by seated spectators in a modern industrial space.",155
5e55c673-62b5-5ec4-9e89-27d52ae4c303,"My First Produced Play? Ah, I Remember It Well","Jonathan Hadary, Nikki M. James and Crystal Lucas-Perry in the new revival of Tony Kushner&rsquo;s &ldquo;A Bright Room Called Day.&rdquo;",Theater,"Three individuals stand indoors; one in a robe, another in a denim jacket, and the third with hands clasped. A wooden chair and window are visible in the background.",165
555d2c12-0621-5e79-af43-36f51361b4ed,Recent Commercial Real Estate Transactions,This five-story walk-up at 561 West 181st Street in the Washington Heights section of Manhattan is on the market for $10.5 million.,Real Estate,"Urban street scene with a ""Pharmacy"" sign, ""Manhattan HD Corp,"" and clothing store on left. Cars parked in foreground, market stalls with goods on right.",153
0c435ddd-10db-5f30-8c11-b8e36093f87b,K.G.B. Museum Closes; Lipstick Gun and Other Spy Relics Go on Sale,"Julius Urbaitis and Agne Urbaityte, father and daughter curators of the K.G.B. Spy Museum, in the interrogation room. The museum, shut since March, is closing for good.",Art & Design,"A historical scene with two figures dressed in military-style uniforms, mannequins wearing similar attire, and a desk setup including a typewriter, lamp, and vintage items.",172
