image_id,headline,caption,section,generated_finetuned,alt_text_length
d31b1e4c-dc1c-55f0-ba79-8950c81710da,"Three Friends, Two Homes, One Brooklyn House","James Patalano, Rachael Patalano and Brian Hanly in the backyard of their shared two-family house in Bushwick, Brooklyn.",Real Estate,"James Patalano, Rachael Patalano, and Brian Hanly sit at a wooden table in the backyard of their shared two-family house, surrounded by greenery and a colorful rug.",164
0374957a-cbef-58bf-8ba9-fb3540dd32c7,"In China, a Reuters Partner Blocks Articles on the Tiananmen Square Massacre","In Taipei, Taiwan, people gathered Tuesday to commemorate the massacre in Tiananmen Square in Beijing on June 4, 1989, when the Chinese military squashed student protests, killing an unknown number of demonstrators.",Media,"A statue of a figure holding a torch stands beside a large screen displaying tanks and a person standing in front of them, with Chinese subtitles below.",152
e7a2a4a6-fde3-55fc-813d-c9985f513e0e,Taking a Vacation From Email,Gmail includes the option to limit automatic reply messages to people in your Google Contacts. You can also set up your vacation-response message in the Gmail app for Android and iOS.,Technology,"The Gmail interface shows the vacation responder settings, with an option to limit responses to contacts and a pre-filled message about being unavailable due to a World Cup event.",179
a4825fcc-0b95-572a-ad16-521c3fac9931,"A Truce, Not a Peace Treaty: A Global Economic Body Warns of Risks","The Basel, Switzerland, headquarters of the Bank for International Settlements, which warned in a report on Tuesday that ""underlying financial fragilities remain.""",Economy,"The Basel, Switzerland, headquarters of the Bank for International Settlements features a tall building with illuminated windows against a city skyline.",152
6c92737d-3e2c-5dcb-a7ae-20c6a9200883,Imagining a World After Anna,"Anna Wintour, in the receiving line at the Met Costume Gala in 2012, including, from left, Donald Trump, Melania Trump, Barry Diller, Miuccia Prada, Diane Von Furstenberg and Carey Mulligan.",Fashion & Style,"Anna Wintour in a white dress at the Met Costume Gala, surrounded by Donald Trump, Melania Trump, Barry Diller, Miuccia Prada, and Diane Von Furstenberg.",153
79ce9862-452a-5b8a-8b16-d8b3e09947ef,'Dear Evan Hansen' and 'Leopoldstadt' Pick Up Olivier Awards,"Sam Tutty, left, won for best actor in a musical at the Olivier Awards, and Sharon D. Clarke, right, won for best actress in a play for ""Death of a Salesman.""",Theater,"Sam Tutty holds his award at the Olivier Awards, while Sharon D. Clarke displays her trophy. Both are smiling against a backdrop with the Olivier Awards logo.",158
71b8d8b8-1927-5e76-a7a5-b05e4bf74596,A Show of Artists Galvanized by the Abortion Debate,"Tatyana Fazlalizadeh&rsquo;s &ldquo;To Be Without Choice&rdquo; (2019), graphite and photo collage, in the exhibition &ldquo;Abortion Is Normal&rdquo; at Arsenal Contemporary.",Art & Design,"Graphite drawing featuring two faces and a photograph of a woman holding a child, part of Tatyana Fazlalizadeh's artwork titled ""To Be Without Choice.""",151
13778c67-8760-5288-bb7f-067c1d5da652,"Booker Prize Winner 'Girl, Woman, Other' Is Coming to America","&ldquo;Older women are hardly ever written about in fiction, let alone older black women, even when the writers are older women,&rdquo; Bernardine Evaristo said. &ldquo;We are fixated with youth, yet in my opinion older women are so interesting.&rdquo;",Books,"Bernardine Evaristo seated on a red couch with natural light casting shadows behind her. She wears glasses, a colorful shirt, and a patterned headband.",151
6ec304f3-32bc-52b9-a5c7-b46192cc1e51,Lincoln Library Cancels Exhibition Over Racial Sensitivity Concerns,The Abraham Lincoln Presidential Library and Museum decided to cancel a touring exhibition on domestic terrorism because they found the displays outdated and insensitive.,Art & Design,The Abraham Lincoln Presidential Library and Museum features curved architecture with large glass windows and American flags. A tree branch partially frames the building.,170
d170f0c1-a481-505d-a490-6b10d2dad19d,Fed Chair Powell Indicates He'll Keep Bolstering Growth in Public Debut,"Jerome H. Powell, the chairman of the Federal Reserve, testified Tuesday before the House Financial Services Committee, where he delivered the Fed's semiannual monetary policy report.",Economy,"Jerome H. Powell testifies before the House Financial Services Committee, seated at a wooden podium with documents and a nameplate labeled ""Hon. Powell.""",153
7a98d789-2626-5820-aa51-206a5f9dc362,Nuclear Woes Hurt Bottom Line at EDF,"Completion of the EDF nuclear power plant being built in Flamanville, France, on the Normandy coast, will be delayed by a year because of increased costs.",Global Business,"A construction worker in a red hard hat and high-visibility vest overlooks the EDF nuclear power plant site in Flamanville, France, with cranes and the sea in the background.",174
